3360	3.47E-03	5.22E-04
3380	3.37E-03	5.17E-04
3400	3.28E-03	5.11E-04
3420	3.19E-03	5.05E-04
3440	3.10E-03	4.99E-04
3460	3.02E-03	4.94E-04
3480	2.94E-03	4.88E-04
3500	2.86E-03	4.83E-04
3520	2.79E-03	4.78E-04
3540	2.72E-03	4.73E-04
3560	2.65E-03	4.68E-04
3580	2.59E-03	4.63E-04
3600	2.53E-03	4.59E-04
3620	2.47E-03	4.55E-04
3640	2.42E-03	4.50E-04
3660	2.36E-03	4.46E-04
3680	2.31E-03	4.42E-04
3700	2.26E-03	4.39E-04
3720	2.22E-03	4.35E-04
3740	2.17E-03	4.32E-04
3760	2.13E-03	4.29E-04
3780	2.09E-03	4.26E-04
3800	2.05E-03	4.23E-04
3820	2.01E-03	4.20E-04
3840	1.98E-03	4.18E-04
3860	1.94E-03	4.16E-04
3880	1.91E-03	4.14E-04
3900	1.88E-03	4.12E-04
3920	1.85E-03	4.10E-04
3940	1.82E-03	4.09E-04
3960	1.79E-03	4.08E-04
3980	1.77E-03	4.07E-04
4000	1.74E-03	4.06E-04
4020	1.72E-03	4.05E-04
4040	1.69E-03	4.05E-04
4060	1.67E-03	4.04E-04
4080	1.65E-03	4.04E-04
4100	1.63E-03	4.03E-04
4120	1.61E-03	4.03E-04
4140	1.59E-03	4.02E-04
4160	1.57E-03	4.02E-04
4180	1.56E-03	4.02E-04
4200	1.54E-03	4.02E-04
4220	1.53E-03	4.02E-04
4240	1.51E-03	4.03E-04
4260	1.50E-03	4.03E-04
4280	1.49E-03	4.04E-04
4300	1.47E-03	4.05E-04
4320	1.46E-03	4.06E-04
4340	1.45E-03	4.07E-04
4360	1.45E-03	4.09E-04
4380	1.44E-03	4.11E-04
4400	1.44E-03	4.14E-04
4420	1.44E-03	4.18E-04
4440	1.44E-03	4.22E-04
4460	1.44E-03	4.27E-04
4480	1.45E-03	4.34E-04
4500	1.47E-03	4.43E-04
4520	1.21E-05	7.28E-06
4540	3.32E-07	1.24E-07
4560	2.37E-07	8.83E-08
4580	1.65E-07	6.16E-08
4600	1.12E-07	4.18E-08
4620	4.19E-03	2.57E-03
4640	4.67E-08	1.74E-08
4660	8.66E-03	5.31E-03
4680	8.83E-03	5.42E-03
4700	7.81E-09	2.90E-09
4720	3.36E-09	1.25E-09
4740	1.15E-09	4.26E-10
4760	2.63E-10	9.73E-11
4780	2.28E-11	8.41E-12
4800	4.99E-03	3.06E-03
