0	0	0	0	0	0	0	0	0	0
100	0.000479038	0.000479038	0.000479038	0.000479038	0.000479038	0.000479038	0.000479038	0.000479038	0.000479038
200	0.00159747	0.00159747	0.00159747	0.00159747	0.00159747	0.00159747	0.00159747	0.00159747	0.00159747
300	0.003356819	0.003356819	0.003356819	0.003356819	0.003356819	0.003356819	0.003356819	0.003356819	0.003356819
400	0.005759417	0.005759417	0.005759417	0.005759417	0.005759417	0.005759417	0.005759417	0.005759417	0.005759417
500	0.008808422	0.008808422	0.008808422	0.008808422	0.008808422	0.008808422	0.008808422	0.008808422	0.008808422
600	0.012507815	0.012507815	0.012507815	0.012507815	0.012507815	0.012507815	0.012507815	0.012507815	0.012507815
700	0.016862388	0.016862388	0.016862388	0.016862388	0.016862388	0.016862388	0.016862388	0.016862388	0.016862388
800	0.021877955	0.021877955	0.021877955	0.021877955	0.021877955	0.021877955	0.021877955	0.021877955	0.021877955
900	0.027560956	0.027560956	0.027560956	0.027560956	0.027560956	0.027560956	0.027560956	0.027560956	0.027560956
1000	0.033918619	0.033918619	0.033918619	0.033918619	0.033918619	0.033918619	0.033918619	0.033918619	0.033918619
1100	0.040959683	0.040959683	0.040959683	0.040959683	0.040959683	0.040959683	0.040959683	0.040959683	0.040959683
1200	0.048693151	0.048693151	0.048693151	0.048693151	0.048693151	0.048693151	0.048693151	0.048693151	0.048693151
1300	0.057129098	0.057129098	0.057129098	0.057129098	0.057129098	0.057129098	0.057129098	0.057129098	0.057129098
1400	0.066279089	0.066279089	0.066279089	0.066279089	0.066279089	0.066279089	0.066279089	0.066279089	0.066279089
1500	0.076154755	0.076154755	0.076154755	0.076154755	0.076154755	0.076154755	0.076154755	0.076154755	0.076154755
1600	0.086769565	0.086769565	0.086769565	0.086769565	0.086769565	0.086769565	0.086769565	0.086769565	0.086769565
1700	0.09813767	0.09813767	0.09813767	0.09813767	0.09813767	0.09813767	0.09813767	0.09813767	0.09813767
1800	0.110274971	0.110274971	0.110274971	0.110274971	0.110274971	0.110274971	0.110274971	0.110274971	0.110274971
1900	0.12319726	0.12319726	0.12319726	0.12319726	0.12319726	0.12319726	0.12319726	0.12319726	0.12319726
2000	0.136922082	0.136922082	0.136922082	0.136922082	0.136922082	0.136922082	0.136922082	0.136922082	0.136922082
2100	0.151469412	0.151469412	0.151469412	0.151469412	0.151469412	0.151469412	0.151469412	0.151469412	0.151469412
2200	0.166858132	0.166858132	0.166858132	0.166858132	0.166858132	0.166858132	0.166858132	0.166858132	0.166858132
2300	0.18311102	0.18311102	0.18311102	0.18311102	0.18311102	0.18311102	0.18311102	0.18311102	0.18311102
2400	0.200250155	0.200250155	0.200250155	0.200250155	0.200250155	0.200250155	0.200250155	0.200250155	0.200250155
2500	0.218300856	0.218300856	0.218300856	0.218300856	0.218300856	0.218300856	0.218300856	0.218300856	0.218300856
2600	0.237288138	0.237288138	0.237288138	0.237288138	0.237288138	0.237288138	0.237288138	0.237288138	0.237288138
2700	0.257239927	0.257239927	0.257239927	0.257239927	0.257239927	0.257239927	0.257239927	0.257239927	0.257239927
2800	0.278185551	0.278185551	0.278185551	0.278185551	0.278185551	0.278185551	0.278185551	0.278185551	0.278185551
2900	0.30015574	0.30015574	0.30015574	0.30015574	0.30015574	0.30015574	0.30015574	0.30015574	0.30015574
3000	0.323184598	0.323184598	0.323184598	0.323184598	0.323184598	0.323184598	0.323184598	0.323184598	0.323184598
3100	0.347305856	0.347305856	0.347305856	0.347305856	0.347305856	0.347305856	0.347305856	0.347305856	0.347305856
3200	0.372556748	0.372556748	0.372556748	0.372556748	0.372556748	0.372556748	0.372556748	0.372556748	0.372556748
3300	0.398976176	0.398976176	0.398976176	0.398976176	0.398976176	0.398976176	0.398976176	0.398976176	0.398976176
3400	0.426606193	0.426606193	0.426606193	0.426606193	0.426606193	0.426606193	0.426606193	0.426606193	0.426606193
3500	0.455491459	0.455491459	0.455491459	0.455491459	0.455491459	0.455491459	0.455491459	0.455491459	0.455491459
3600	0.485676987	0.485676987	0.485676987	0.485676987	0.485676987	0.485676987	0.485676987	0.485676987	0.485676987
3700	0.51721359	0.51721359	0.51721359	0.51721359	0.51721359	0.51721359	0.51721359	0.51721359	0.51721359
3800	0.550152611	0.550152611	0.550152611	0.550152611	0.550152611	0.550152611	0.550152611	0.550152611	0.550152611
3900	0.584549968	0.584549968	0.584549968	0.584549968	0.584549968	0.584549968	0.584549968	0.584549968	0.584549968
4000	0.620464734	0.620464734	0.620464734	0.620464734	0.620464734	0.620464734	0.620464734	0.620464734	0.620464734
4100	0.657958348	0.657958348	0.657958348	0.657958348	0.657958348	0.657958348	0.657958348	0.657958348	0.657958348
4200	0.697097373	0.697097373	0.697097373	0.697097373	0.697097373	0.697097373	0.697097373	0.697097373	0.697097373
4300	0.737951943	0.737951943	0.737951943	0.737951943	0.737951943	0.737951943	0.737951943	0.737951943	0.737951943
